DATE,NASDAQCOM
4/7/20,7887.258
4/8/20,8090.902
4/9/20,8153.574
4/10/20,.
4/13/20,8192.426
4/14/20,8515.742
4/15/20,8393.176
4/16/20,8532.363
4/17/20,8650.141
4/20/20,8560.727
4/21/20,8263.23
4/22/20,8495.379
4/23/20,8494.754
4/24/20,8634.52
4/27/20,8730.164
4/28/20,8607.73
4/29/20,8914.711
4/30/20,8889.551
5/1/20,8604.949
5/4/20,8710.715
5/5/20,8809.121
5/6/20,8854.387
5/7/20,8979.66
5/8/20,9121.32
5/11/20,9192.344
5/12/20,9002.551
5/13/20,8863.168
5/14/20,8943.723
5/15/20,9014.559
5/18/20,9234.828
5/19/20,9185.105
5/20/20,9375.777
5/21/20,9284.883
5/22/20,9324.586
5/25/20,.
5/26/20,9340.219
5/27/20,9412.359
5/28/20,9368.988
5/29/20,9489.871
6/1/20,9552.051
6/2/20,9608.375
6/3/20,9682.91
6/4/20,9615.813
6/5/20,9814.082
6/8/20,9924.746
6/9/20,9953.754
6/10/20,10020.348
6/11/20,9492.727
6/12/20,9588.809
6/15/20,9726.023
6/16/20,9895.867
6/17/20,9910.531
6/18/20,9943.051
6/19/20,9946.125
6/22/20,10056.477
6/23/20,10131.367
6/24/20,9909.164
6/25/20,10017.004
6/26/20,9757.219
6/29/20,9874.152
6/30/20,10058.766
7/1/20,10154.629
7/2/20,10207.629
7/3/20,.
7/6/20,10433.648
7/7/20,10343.887
7/8/20,10492.5
7/9/20,10547.75
7/10/20,10617.445
7/13/20,10390.844
7/14/20,10488.578
7/15/20,10550.492
7/16/20,10473.828
7/17/20,10503.191
7/20/20,10767.094
7/21/20,10680.363
7/22/20,10706.129
7/23/20,10461.418
7/24/20,10363.176
7/27/20,10536.266
7/28/20,10402.09
7/29/20,10542.941
7/30/20,10587.813
7/31/20,10745.273
8/3/20,10902.797
8/4/20,10941.164
8/5/20,10998.398
8/6/20,11108.07
8/7/20,11010.984
8/10/20,10968.355
8/11/20,10782.824
8/12/20,11012.238
8/13/20,11042.504
